,,,,Wickets,,,,,,,Year,
25,8,0,112,2,3.36,56,100,,v Pakistan,Wellington,02/02/73,Test # 710
45,6,8,143,1,3.17,143,270,,v England,Nottingham,06/07/73,Test # 722
25,8,4,104,0,3.12,-,-,,v Australia,Melbourne,12/29/73,Test # 728
13.7,8,2,49,6,2.64,8.16,18.5,,v Australia,Sydney,01/05/74,Test # 729
28,8,3,102,1,2.73,102,224,,v Australia,Adelaide,01/26/74,Test # 730
32.4,8,5,130,7,3,18.57,37.1,,v Australia,Christchurch,03/08/74,Test # 735
18,8,2,95,3,3.95,31.66,48,,v Australia,Auckland,03/22/74,Test # 736
26,8,3,139,1,4,139,208,,v India,Christchurch,02/05/76,Test # 771
22.3,8,1,58,11,1.94,5.27,16.2,,v India,Wellington,02/13/76,Test # 772
24,8,0,157,5,4.9,31.4,38.4,,v Pakistan,Lahore,10/09/76,Test # 782
19,8,1,77,1,3.03,77,152,,v Pakistan,Hyderabad (Sind),10/23/76,Test # 783
32.2,8,1,213,4,4.95,53.25,64.5,,v Pakistan,Karachi,10/30/76,Test # 784
45,6,5,171,5,3.8,34.2,54,,v India,Mumbai,11/10/76,Test # 785
44,6,3,177,3,4.02,59,88,,v India,Kanpur,11/18/76,Test # 786
38,6,10,89,5,2.34,17.8,45.6,,v India,Chennai,11/26/76,Test # 787
42,8,5,196,4,3.5,49,84,,v Australia,Christchurch,02/18/77,Test # 796
30,8,2,158,2,3.95,79,120,,v Australia,Auckland,02/25/77,Test # 798
41.3,8,9,100,10,1.81,10,33.1,,v England,Wellington,02/10/78,Test # 817
49,8,11,164,4,2.51,41,98,,v England,Christchurch,02/24/78,Test # 818
31,8,6,107,1,2.58,107,248,,v England,Auckland,03/04/78,Test # 820
33.2,6,9,61,2,1.83,30.5,100,,v England,The Oval,07/27/78,Test # 828
42,6,11,94,4,2.23,23.5,63,,v England,Nottingham,08/10/78,Test # 829
45.5,6,11,115,7,2.5,16.42,39.2,,v England,Lord's,08/24/78,Test # 830
51,8,6,145,8,2.13,18.12,51,,v Pakistan,Christchurch,02/02/79,Test # 844
39,8,4,157,5,3.01,31.4,62.4,,v Pakistan,Napier,02/16/79,Test # 847
27.6,8,3,112,5,3.02,22.4,44.4,,v Pakistan,Auckland,02/23/79,Test # 848
56,6,22,102,11,1.82,9.27,30.5,,v West Indies,Dunedin,02/08/80,Test # 873
45.3,6,12,122,3,2.68,40.66,91,,v West Indies,Christchurch,02/22/80,Test # 875
60,6,16,137,5,2.28,27.4,72,,v West Indies,Auckland,02/29/80,Test # 877
43,6,8,111,3,2.58,37,86,,v Australia,Brisbane,11/28/80,Test # 887
38.1,6,12,107,7,2.8,15.28,32.7,,v Australia,Perth,12/12/80,Test # 889
66.2,6,15,146,9,2.2,16.22,44.2,,v Australia,Melbourne,12/26/80,Test # 891
38.3,6,11,127,4,3.29,31.75,57.7,,v India,Wellington,02/21/81,Test # 897
33,6,12,47,5,1.42,9.4,39.6,,v India,Christchurch,03/06/81,Test # 898
48,6,14,114,1,2.37,114,288,,v India,Auckland,03/13/81,Test # 899
7,6,2,15,0,2.14,-,-,,v Australia,Wellington,02/26/82,Test # 922
48,6,16,101,7,2.1,14.42,41.1,,v Australia,Auckland,03/12/82,Test # 924
36.5,6,7,110,7,2.98,15.71,31.5,,v Australia,Christchurch,03/19/82,Test # 926
35.3,6,13,60,4,1.69,15,53.2,,v Sri Lanka,Christchurch,03/04/83,Test # 950
42,6,14,81,6,1.92,13.5,42,,v Sri Lanka,Wellington,03/11/83,Test # 951
61,6,13,152,8,2.49,19,45.7,,v England,The Oval,07/14/83,Test # 957
47,6,18,89,0,1.89,-,-,,v England,Leeds,07/28/83,Test # 958
66,6,22,135,8,2.04,16.87,49.5,,v England,Lord's,08/11/83,Test # 959
58,6,12,183,5,3.15,36.6,69.6,,v England,Nottingham,08/25/83,Test # 960
31.5,6,6,97,2,3.04,48.5,95.5,,v England,Wellington,01/20/84,Test # 975
35,6,15,44,8,1.25,5.5,26.2,,v England,Christchurch,02/03/84,Test # 976
43,6,12,91,2,2.11,45.5,129,,v England,Auckland,02/10/84,Test # 977
27.5,6,11,43,8,1.54,5.37,20.8,,v Sri Lanka,Kandy,03/09/84,Test # 980
52,6,26,85,5,1.63,17,62.4,,v Sri Lanka,Colombo (SSC),03/16/84,Test # 982
38,6,11,102,10,2.68,10.2,22.8,,v Sri Lanka,Colombo (CCC),03/24/84,Test # 985
32,6,11,70,2,2.18,35,96,,v Pakistan,Wellington,01/18/85,Test # 1009
36.5,6,4,126,6,3.42,21,36.8,,v Pakistan,Auckland,01/25/85,Test # 1010
50,6,14,110,8,2.2,13.75,37.5,,v Pakistan,Dunedin,02/09/85,Test # 1012
41.3,6,8,140,4,3.37,35,62.2,,v West Indies,Port of Spain,03/29/85,Test # 1013
41.5,6,8,115,4,2.74,28.75,62.7,,v West Indies,Georgetown,04/06/85,Test # 1014
26,6,5,86,3,3.3,28.66,52,,v West Indies,Bridgetown,04/26/85,Test # 1015
33.4,6,12,68,4,2.01,17,50.5,,v West Indies,Kingston,05/04/85,Test # 1016
52.3,6,13,123,15,2.34,8.2,21,,v Australia,Brisbane,11/08/85,Test # 1029
51.1,6,12,123,7,2.4,17.57,43.8,,v Australia,Sydney,11/22/85,Test # 1030
65.5,6,17,155,11,2.35,14.09,35.9,,v Australia,Perth,11/30/85,Test # 1031
37.1,6,5,116,3,3.12,38.66,74.3,,v Australia,Wellington,02/21/86,Test # 1035
69.4,6,12,163,9,2.33,18.11,46.4,,v Australia,Christchurch,02/28/86,Test # 1038
51,6,19,108,4,2.11,27,76.5,,v Australia,Auckland,03/13/86,Test # 1040
64.5,6,14,158,7,2.43,22.57,55.5,,v England,Lord's,07/24/86,Test # 1049
65.1,6,22,140,10,2.14,14,39.1,,v England,Nottingham,08/07/86,Test # 1050
23.5,6,6,92,2,3.86,46,71.5,,v England,The Oval,08/21/86,Test # 1051
35,6,9,89,2,2.54,44.5,105,,v West Indies,Wellington,02/20/87,Test # 1068
42.4,6,7,114,6,2.67,19,42.6,,v West Indies,Auckland,02/27/87,Test # 1070
35.3,6,4,151,9,4.25,16.77,23.6,,v West Indies,Christchurch,03/12/87,Test # 1072
38.5,6,10,102,4,2.62,25.5,58.2,,v Sri Lanka,Colombo (CCC),04/16/87,Test # 1074
39,6,8,109,3,2.79,36.33,78,,v Australia,Brisbane,12/04/87,Test # 1082
42,6,16,68,5,1.61,13.6,50.4,,v Australia,Adelaide,12/11/87,Test # 1084
75,6,20,176,10,2.34,17.6,45,,v Australia,Melbourne,12/26/87,Test # 1087
18,6,3,50,0,2.77,-,-,,v England,Christchurch,02/12/88,Test # 1091
30,6,10,65,5,2.16,13,36,,v India,Bengaluru,11/12/88,Test # 1107
36.5,6,11,88,10,2.38,8.8,22.1,,v India,Mumbai,11/24/88,Test # 1109
34,6,7,99,3,2.91,33,68,,v India,Hyderabad (Deccan),12/02/88,Test # 1111
54,6,14,101,4,1.87,25.25,81,,v Pakistan,Wellington,02/10/89,Test # 1115
28,6,7,68,1,2.42,68,168,,v Pakistan,Auckland,02/24/89,Test # 1116
36.5,6,4,114,7,3.09,16.28,31.5,,v India,Christchurch,02/02/90,Test # 1136
35,6,11,73,3,2.08,24.33,70,,v India,Napier,02/09/90,Test # 1138
34,6,9,132,2,3.88,66,102,,v India,Auckland,02/22/90,Test # 1139
41.2,6,8,109,7,2.63,15.57,35.4,,v Australia,Wellington,03/15/90,Test # 1141
33,6,6,89,4,2.69,22.25,49.5,,v England,Nottingham,06/07/90,Test # 1145
42,6,7,145,4,3.45,36.25,63,,v England,Lord's,06/21/90,Test # 1146
58.5,6,11,150,8,2.54,18.75,44.1,,v England,Birmingham,07/05/90,Test # 1147
