Overs,Mdns,Runs,Wkts,Econ,Ave,SR
-,-,-,-,-,-,-
4,2,2,0,0.5,-,-
21,4,54,1,2.57,54,126
25.4,9,47,4,1.83,11.75,38.5
12,3,33,0,2.75,-,-
14.4,4,36,2,2.45,18,44
4,2,5,0,1.25,-,-
8,1,30,0,3.75,-,-
34,15,65,2,1.91,32.5,102
18,7,58,2,3.22,29,54
17,1,46,0,2.7,-,-
-,-,-,-,-,-,-
22,6,68,1,3.09,68,132
26,10,54,1,2.07,54,156
20,7,46,0,2.3,-,-
24,12,32,5,1.33,6.4,28.8
49.1,22,81,4,1.64,20.25,73.7
41,14,86,2,2.09,43,123
24,10,61,0,2.54,-,-
29,10,63,2,2.17,31.5,87
9,2,25,1,2.77,25,54
20,4,49,4,2.45,12.25,30
42.4,9,124,7,2.9,17.71,36.5
15.1,6,38,3,2.5,12.66,30.3
34.4,10,105,1,3.02,105,208
11,3,34,1,3.09,34,66
39,12,94,1,2.41,94,234
38,7,112,7,2.94,16,32.5
-,-,-,-,-,-,-
-,-,-,-,-,-,-
7,1,22,2,3.14,11,21
23,9,38,0,1.65,-,-
29.2,6,80,3,2.72,26.66,58.6
13,2,44,0,3.38,-,-
21,9,51,3,2.42,17,42
15,8,28,2,1.86,14,45
17,7,41,1,2.41,41,102
19.4,5,43,3,2.18,14.33,39.3
17,5,52,0,3.05,-,-
36,9,118,2,3.27,59,108
28,10,61,1,2.17,61,168
15.5,4,26,2,1.64,13,47.5
15,4,31,0,2.06,-,-
13,3,48,1,3.69,48,78
19,2,54,3,2.84,18,38
32,4,69,2,2.15,34.5,96
37,16,84,4,2.27,21,55.5
44,18,101,8,2.29,12.62,33
32.4,14,47,4,1.43,11.75,49
44,15,94,2,2.13,47,132
33,6,91,3,2.75,30.33,66
-,-,-,-,-,-,-
37,9,143,3,3.86,47.66,74
21.2,7,65,2,3.04,32.5,64
31,3,82,3,2.64,27.33,62
17,3,55,0,3.23,-,-
22,1,129,1,5.86,129,132
24,1,116,2,4.83,58,72
33,3,133,4,4.03,33.25,49.5
31,5,124,5,4,24.8,37.2
18,5,48,0,2.66,-,-
17.3,5,47,7,2.68,6.71,15
28,11,75,3,2.67,25,56
30.1,7,110,7,3.64,15.71,25.8
23,5,52,2,2.26,26,69
18,3,69,1,3.83,69,108
37,9,128,2,3.45,64,111
37.1,11,92,9,2.47,10.22,24.7
39.2,5,142,3,3.61,47.33,78.6
24,4,67,0,2.79,-,-
41,10,108,2,2.63,54,123
26,6,74,1,2.84,74,156
15,3,50,1,3.33,50,90
37,11,102,1,2.75,102,222
28,8,95,2,3.39,47.5,84
26,7,71,3,2.73,23.66,52
23,1,108,1,4.69,108,138
7,5,4,1,0.57,4,42
24,4,74,0,3.08,-,-
23,10,60,3,2.6,20,46
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
32,8,67,1,2.09,67,192
17,5,55,0,3.23,-,-
43,7,172,3,4,57.33,86
4,0,9,0,2.25,-,-
24.5,10,53,5,2.13,10.6,29.8
25,9,53,6,2.12,8.83,25
14,3,70,0,5,-,-
24,7,70,0,2.91,-,-
20,9,44,2,2.2,22,60
36,6,96,0,2.66,-,-
10,2,38,1,3.8,38,60
32.5,4,127,3,3.86,42.33,65.6
17,4,33,2,1.94,16.5,51
12,0,51,3,4.25,17,24
29.1,8,92,2,3.15,46,87.5
28,8,87,2,3.1,43.5,84
9,1,41,1,4.55,41,54
20,7,50,1,2.5,50,120
14,1,40,2,2.85,20,42
26,2,97,2,3.73,48.5,78
24,4,67,1,2.79,67,144
31,3,99,3,3.19,33,62
19,0,73,1,3.84,73,114
18,1,78,6,4.33,13,18
15,6,25,1,1.66,25,90
22,3,55,2,2.5,27.5,66
7,0,26,3,3.71,8.66,14
16,4,53,2,3.31,26.5,48
24,9,39,1,1.62,39,144
28,7,45,2,1.6,22.5,84
10,3,18,0,1.8,-,-
19,6,35,5,1.84,7,22.8
12,4,28,0,2.33,-,-
14,0,71,0,5.07,-,-
10,3,26,1,2.6,26,60
9,1,23,0,2.55,-,-
20,3,70,0,3.5,-,-
25,5,74,3,2.96,24.66,50
35,10,90,4,2.57,22.5,52.5
16,2,61,3,3.81,20.33,32
9.3,1,27,4,2.84,6.75,14.2
18,5,54,1,3,54,108
29,6,89,3,3.06,29.66,58
32.4,5,112,3,3.42,37.33,65.3
30,11,67,1,2.23,67,180
13,0,55,3,4.23,18.33,26
23,4,70,3,3.04,23.33,46
20,6,52,0,2.6,-,-
3,1,5,0,1.66,-,-
14,1,43,0,3.07,-,-
28,6,55,1,1.96,55,168
10,3,40,1,4,40,60
18,3,33,1,1.83,33,108
12,1,40,0,3.33,-,-
17.1,5,55,2,3.2,27.5,51.5
23,7,65,1,2.82,65,138
16,1,46,2,2.87,23,48
12,5,26,0,2.16,-,-
23,6,90,1,3.91,90,138
19,4,76,2,4,38,57
21,4,48,1,2.28,48,126
-,-,-,-,-,-,-
6,0,37,0,6.16,-,-
22,3,84,1,3.81,84,132
13,5,44,0,3.38,-,-
20,2,67,0,3.35,-,-
14.5,2,35,3,2.35,11.66,29.6
12,3,27,1,2.25,27,72
15,7,20,1,1.33,20,90
26,8,60,2,2.3,30,78
16,5,41,1,2.56,41,96
23,5,79,1,3.43,79,138
12,3,30,0,2.5,-,-
3.3,1,19,2,5.42,9.5,10.5
-,-,-,-,-,-,-
11.1,3,31,2,2.77,15.5,33.5
10,4,18,1,1.8,18,60
21,7,46,3,2.19,15.33,42
25.2,4,60,0,2.36,-,-
13,2,44,0,3.38,-,-
7,3,9,0,1.28,-,-
34,9,105,4,3.08,26.25,51
11,1,36,0,3.27,-,-
